protein	SRR2131211	SRR2131212
K00001	14	18
K00002	0	2
K00003	5	25
K00004	0	1
K00005	17	24
K00007	10	14
K00008	1	8
K00009	6	8
K00010	14	19
K00011	0	2
K00012	8	17
K00013	11	27
K00014	36	31
K00015	0	2
K00016	10	35
K00018	1	4
K00019	6	8
K00020	7	10
K00023	1	4
K00024	7	22
K00025	0	2
K00026	1	0
K00027	16	45
K00029	15	23
K00030	2	5
K00031	12	28
K00033	13	21
K00034	1	4
K00036	18	34
K00038	1	2
K00039	4	9
K00040	15	27
K00041	9	14
K00042	6	8
K00044	1	1
K00045	1	3
K00046	3	10
K00048	21	20
K00050	4	3
K00051	0	1
K00052	13	28
K00053	14	33
K00054	0	9
K00055	8	0
K00057	13	29
K00058	25	51
K00059	38	92
K00060	4	9
K00064	0	6
K00065	11	14
K00067	0	13
K00068	8	18
K00069	0	1
K00073	2	2
K00074	8	17
K00075	23	31
K00076	0	1
K00077	12	23
K00078	0	2
K00082	0	1
K00083	0	1
K00086	7	0
K00088	29	65
K00090	8	11
K00094	0	4
K00096	0	7
K00097	15	11
K00098	0	1
K00099	12	19
K00100	11	24
K00101	12	7
K00102	0	2
K00104	0	3
K00105	0	6
K00108	12	11
K00109	1	1
K00111	18	38
K00112	8	7
K00113	7	10
K00116	11	24
K00117	15	25
K00119	0	3
K00121	9	17
K00123	59	56
K00124	8	10
K00127	2	1
K00128	24	39
K00129	1	2
K00130	11	28
K00131	1	2
K00133	17	37
K00134	22	56
K00135	33	35
K00137	10	12
K00138	0	2
K00139	2	0
K00140	10	22
K00141	8	3
K00143	0	1
K00145	13	16
K00146	20	23
K00147	15	21
K00148	1	0
K00150	0	2
K00151	9	8
K00152	1	0
K00153	0	3
K00154	3	0
K00155	0	1
K00156	5	30
K00158	6	18
K00161	12	5
K00162	8	8
K00163	15	29
K00164	20	49
K00169	0	14
K00170	1	2
K00171	0	1
K00172	1	5
K00174	1	12
K00175	0	6
K00176	0	2
K00177	0	3
K00179	2	3
K00180	0	1
K00183	0	1
K00184	1	10
K00185	0	4
K00186	0	1
K00196	0	1
K00198	1	7
K00208	4	8
K00211	0	1
K00215	7	16
K00216	2	6
K00219	16	11
K00226	20	28
K00228	5	1
K00230	2	4
K00231	1	1
K00239	22	32
K00240	8	9
K00241	1	4
K00242	5	1
K00243	0	7
K00244	32	34
K00245	7	1
K00246	2	4
K00247	3	1
K00249	0	1
K00252	0	1
K00257	0	3
K00259	1	5
K00260	1	2
K00261	14	14
K00262	20	44
K00263	1	0
K00264	4	3
K00265	48	41
K00266	25	37
K00274	0	1
K00275	4	4
K00276	15	11
K00278	15	17
K00281	16	27
K00282	0	2
K00283	0	1
K00284	11	29
K00285	16	17
K00286	11	17
K00287	4	15
K00288	0	7
K00289	1	0
K00290	4	4
K00294	0	1
K00297	6	8
K00299	3	4
K00303	0	1
K00311	0	12
K00313	0	14
K00315	0	1
K00322	3	7
K00323	2	7
K00324	17	27
K00325	19	13
K00330	3	5
K00331	2	8
K00332	0	5
K00333	2	12
K00334	4	7
K00335	8	20
K00336	18	38
K00337	7	22
K00338	3	10
K00339	4	4
K00340	2	8
K00341	9	31
K00342	13	22
K00343	10	23
K00344	14	13
K00346	10	9
K00347	10	10
K00348	4	5
K00349	3	8
K00350	4	5
K00351	8	11
K00354	1	0
K00355	3	10
K00356	4	4
K00358	0	2
K00359	5	14
K00360	0	1
K00362	36	48
K00363	2	2
K00364	8	17
K00366	0	5
K00367	1	0
K00368	3	8
K00370	44	88
K00371	16	20
K00372	14	14
K00373	8	15
K00374	6	10
K00375	26	31
K00380	12	8
K00381	9	9
K00382	23	59
K00383	11	23
K00384	24	38
K00385	0	3
K00389	2	2
K00390	5	6
K00400	1	3
K00425	32	55
K00426	23	24
K00427	10	6
K00428	1	0
K00432	8	13
K00433	5	4
K00446	0	4
K00448	2	2
K00449	5	8
K00455	3	5
K00457	7	7
K00459	8	9
K00470	4	0
K00480	0	2
K00481	5	8
K00483	8	8
K00484	2	3
K00492	4	5
K00517	0	5
K00520	2	9
K00525	43	66
K00526	17	38
K00527	32	87
K00528	13	18
K00529	1	7
K00532	0	1
K00537	8	8
K00540	34	36
K00543	1	1
K00547	6	10
K00548	19	33
K00549	37	49
K00554	7	26
K00556	4	4
K00557	3	7
K00558	11	28
K00560	9	19
K00561	0	1
K00563	6	8
K00564	7	9
K00566	9	33
K00567	5	11
K00568	1	8
K00571	1	8
K00573	4	4
K00574	20	20
K00590	0	1
K00596	0	1
K00598	8	5
K00599	20	43
K00600	11	50
K00601	0	1
K00602	24	43
K00604	9	21
K00605	5	7
K00606	4	15
K00609	10	33
K00610	4	0
K00611	13	32
K00614	0	3
K00615	44	105
K00616	27	29
K00619	0	2
K00620	6	8
K00625	4	15
K00626	28	35
K00627	19	31
K00631	10	12
K00632	21	20
K00633	0	5
K00634	0	1
K00638	7	5
K00639	9	30
K00640	8	20
K00641	1	10
K00643	1	0
K00645	8	26
K00647	8	12
K00648	6	19
K00651	13	12
K00652	4	4
K00654	0	1
K00655	7	21
K00656	61	144
K00657	3	9
K00658	6	24
K00661	5	22
K00666	11	13
K00673	13	8
K00674	12	13
K00675	6	6
K00676	1	0
K00677	4	8
K00680	5	9
K00681	19	15
K00684	3	2
K00687	1	12
K00688	43	38
K00689	1	0
K00690	1	5
K00691	0	11
K00692	0	1
K00694	24	24
K00697	6	3
K00700	24	45
K00703	5	11
K00705	25	32
K00712	2	0
K00721	2	15
K00729	1	1
K00747	0	1
K00748	6	12
K00754	0	4
K00756	4	9
K00757	7	12
K00758	9	19
K00759	4	14
K00760	8	22
K00761	6	23
